lab_id,model_id,memorable,dominant,attractive,trustworthy,gender-typical,attractive (unstd),trustworthy (unstd),dominant (unstd)
MF0022,0010,4.2073170731707314,4.1098901098901095,4.2023809523809526,4.6477272727272725,5.525,4.011904761904762,4.712643678160919,3.74468085106383
MF0023,0001,4.097560975609756,3.879120879120879,3.0595238095238093,4.079545454545454,4.9625,3.3214285714285716,4.241379310344827,4.382978723404255
MF0023,0002,4.024390243902439,3.6153846153846154,3.3095238095238093,4.6022727272727275,5.1,3.7261904761904763,4.885057471264368,3.6914893617021276
MF0023,0003,4.134146341463414,3.4725274725274726,3.3095238095238093,4.6022727272727275,4.375,3.2142857142857144,4.574712643678161,3.5851063829787235
MF0023,0004,3.8902439024390243,4.076923076923077,3.6547619047619047,4.488636363636363,4.8875,3.738095238095238,4.712643678160919,4.159574468085107
MF0023,0005,4.463414634146342,5.021978021978022,2.880952380952381,3.7386363636363638,6,3.107142857142857,3.8045977011494254,5.1063829787234045
MF0023,0006,4.7073170731707314,4.571428571428571,3.9285714285714284,4.113636363636363,6,NA,NA,NA
MF0023,0007,3.902439024390244,3.89010989010989,3.9523809523809526,4.738636363636363,5.35,4.321428571428571,5.080459770114943,3.9361702127659575
MF0023,0008,4.121951219512195,3.7252747252747254,4.011904761904762,4.761363636363637,5.15,4.0476190476190474,4.712643678160919,3.8617021276595747
MF0023,0009,4,4.43956043956044,2.8452380952380953,3.977272727272727,5.9,3.2738095238095237,4.218390804597701,4.074468085106383
MF0023,0010,4.134146341463414,3.8461538461538463,2.6547619047619047,3.3863636363636362,5.3875,2.5833333333333335,3.632183908045977,3.9468085106382977
MF0024,0001,3.6219512195121952,4.593406593406593,2.761904761904762,3.5454545454545454,4.25,2.6904761904761907,3.6666666666666665,4.308510638297872
MF0024,0002,3.8902439024390243,3.7472527472527473,3.0357142857142856,4.340909090909091,5.125,3.357142857142857,4.712643678160919,4.446808510638298
MF0024,0003,4.329268292682927,3.802197802197802,4.476190476190476,4.579545454545454,5.4375,4.2976190476190474,4.2988505747126435,3.8617021276595747
MF0024,0004,4.195121951219512,4.197802197802198,3.1785714285714284,4.238636363636363,5.85,2.9523809523809526,4.390804597701149,3.797872340425532
MF0024,0005,4.134146341463414,3.10989010989011,3.3452380952380953,4.568181818181818,4.8,3.3452380952380953,4.103448275862069,3.3085106382978724
MF0024,0006,3.9878048780487805,4.2967032967032965,3.869047619047619,4.2727272727272725,5.1625,3.75,4.413793103448276,3.797872340425532
MF0024,0007,3.8780487804878048,3.769230769230769,3.3214285714285716,4.306818181818182,5.525,3.142857142857143,4.2988505747126435,3.521276595744681
MF0024,0008,4.414634146341464,3.923076923076923,2.7023809523809526,3.659090909090909,5.3125,2.9642857142857144,3.264367816091954,3.6382978723404253
MF0024,0009,3.951219512195122,4.384615384615385,3.1785714285714284,3.8636363636363638,5.4875,3.0833333333333335,4.287356321839081,4.127659574468085
MF0024,0010,4.048780487804878,4.021978021978022,3.4166666666666665,4.136363636363637,5.025,3.5238095238095237,4.057471264367816,4.25531914893617
MF0025,0001,3.975609756097561,4.2967032967032965,3.5595238095238093,4.5,5.325,3.6666666666666665,4.2988505747126435,4.372340425531915
MF0025,0002,4.060975609756097,4.153846153846154,4.904761904761905,5.068181818181818,5.7125,5.023809523809524,5.206896551724138,3.8617021276595747
MF0025,0003,4.329268292682927,4.373626373626373,4.059523809523809,4.795454545454546,5.6875,4.285714285714286,4.7701149425287355,4.031914893617022
MF0025,0004,4.365853658536586,3.6263736263736264,4.642857142857143,4.7727272727272725,5.5375,4.785714285714286,4.459770114942529,4.0638297872340425
MF0025,0005,3.9390243902439024,3.3956043956043955,3.6904761904761907,4.204545454545454,5.4875,NA,NA,NA
MF0025,0006,4.914634146341464,4.934065934065934,3.7976190476190474,3.7613636363636362,5.7375,NA,NA,NA
MF0025,0007,3.926829268292683,3.3846153846153846,3.4047619047619047,4.386363636363637,5.0125,3.5952380952380953,4.482758620689655,3.75531914893617
MF0025,0008,4.097560975609756,4.241758241758242,3.8333333333333335,4.011363636363637,5.525,NA,NA,NA
MF0025,0010,4.048780487804878,3.923076923076923,3.6666666666666665,4.136363636363637,5.3125,4.011904761904762,4.195402298850575,3.5106382978723403
MF0026,0001,3.7195121951219514,4.5054945054945055,3.0476190476190474,3.659090909090909,4.975,3.3452380952380953,4.459770114942529,3.882978723404255
MF0026,0002,3.975609756097561,3.5604395604395602,3.1904761904761907,4.0227272727272725,4.775,3.2142857142857144,3.942528735632184,3.734042553191489
MF0026,0003,4.048780487804878,3.7472527472527473,3.0714285714285716,4.590909090909091,5.2125,3.4523809523809526,4.172413793103448,4.170212765957447
MF0026,0004,4.012195121951219,3.912087912087912,3.5238095238095237,4,5.0625,3.3452380952380953,4.022988505747127,3.702127659574468
MF0026,0005,4.097560975609756,3.868131868131868,3.4047619047619047,4.3522727272727275,5.15,3.630952380952381,4.482758620689655,3.872340425531915
MF0026,0006,4.353658536585366,3.7362637362637363,2.738095238095238,3.784090909090909,4.5875,2.988095238095238,3.8850574712643677,3.978723404255319
MF0026,0007,3.8902439024390243,4.472527472527473,3.357142857142857,3.840909090909091,5.6625,3.3333333333333335,3.8850574712643677,4.4361702127659575
MF0026,0008,3.6707317073170733,3.4175824175824174,3.380952380952381,4.1022727272727275,5.175,3.2142857142857144,4.597701149425287,3.648936170212766
MF0026,0009,3.9390243902439024,4.7032967032967035,3.7023809523809526,4.284090909090909,6,3.488095238095238,4.344827586206897,4.48936170212766
MF0006,0001,NA,NA,NA,NA,NA,2.4523809523809526,2.9770114942528734,4.6063829787234045
